ok  	github.com/go-playground/validator/v10	1.141s
ok  	github.com/go-playground/validator/v10/non-standard/validators	1.011s
ok  	github.com/go-playground/validator/v10/translations/ar	1.027s
ok  	github.com/go-playground/validator/v10/translations/de	1.033s
ok  	github.com/go-playground/validator/v10/translations/en	1.033s
ok  	github.com/go-playground/validator/v10/translations/es	1.019s
ok  	github.com/go-playground/validator/v10/translations/fa	1.050s
ok  	github.com/go-playground/validator/v10/translations/fr	1.024s
ok  	github.com/go-playground/validator/v10/translations/id	1.061s
ok  	github.com/go-playground/validator/v10/translations/it	1.028s
ok  	github.com/go-playground/validator/v10/translations/ja	1.024s
ok  	github.com/go-playground/validator/v10/translations/ko	1.029s
ok  	github.com/go-playground/validator/v10/translations/lv	1.018s
ok  	github.com/go-playground/validator/v10/translations/nl	1.014s
ok  	github.com/go-playground/validator/v10/translations/pl	1.019s
ok  	github.com/go-playground/validator/v10/translations/pt	1.014s
ok  	github.com/go-playground/validator/v10/translations/pt_BR	1.014s
ok  	github.com/go-playground/validator/v10/translations/ru	1.020s
ok  	github.com/go-playground/validator/v10/translations/th	1.023s
ok  	github.com/go-playground/validator/v10/translations/tr	1.014s
ok  	github.com/go-playground/validator/v10/translations/uk	1.022s
ok  	github.com/go-playground/validator/v10/translations/vi	1.021s
ok  	github.com/go-playground/validator/v10/translations/zh	1.019s
ok  	github.com/go-playground/validator/v10/translations/zh_tw	1.018s
