ok  	github.com/rs/zerolog	1.072s
?   	github.com/rs/zerolog/cmd/prettylog	[no test files]
ok  	github.com/rs/zerolog/diode	1.239s
?   	github.com/rs/zerolog/diode/internal/diodes	[no test files]
ok  	github.com/rs/zerolog/hlog	1.013s
?   	github.com/rs/zerolog/hlog/internal/mutil	[no test files]
?   	github.com/rs/zerolog/internal	[no test files]
ok  	github.com/rs/zerolog/internal/cbor	1.032s
?   	github.com/rs/zerolog/internal/cbor/examples	[no test files]
ok  	github.com/rs/zerolog/internal/json	1.228s
ok  	github.com/rs/zerolog/journald	1.014s
ok  	github.com/rs/zerolog/log	1.012s
ok  	github.com/rs/zerolog/pkgerrors	1.012s
