ok  	github.com/rs/zerolog	1.342s
?   	github.com/rs/zerolog/cmd/prettylog	[no test files]
ok  	github.com/rs/zerolog/diode	1.580s
?   	github.com/rs/zerolog/diode/internal/diodes	[no test files]
ok  	github.com/rs/zerolog/hlog	1.125s
?   	github.com/rs/zerolog/hlog/internal/mutil	[no test files]
?   	github.com/rs/zerolog/internal	[no test files]
ok  	github.com/rs/zerolog/internal/cbor	1.182s
?   	github.com/rs/zerolog/internal/cbor/examples	[no test files]
ok  	github.com/rs/zerolog/internal/json	2.106s
ok  	github.com/rs/zerolog/journald	1.132s
ok  	github.com/rs/zerolog/log	1.131s
ok  	github.com/rs/zerolog/pkgerrors	1.118s
