ok  	github.com/rs/zerolog	2.933s
?   	github.com/rs/zerolog/cmd/prettylog	[no test files]
ok  	github.com/rs/zerolog/diode	3.413s
?   	github.com/rs/zerolog/diode/internal/diodes	[no test files]
ok  	github.com/rs/zerolog/hlog	1.302s
?   	github.com/rs/zerolog/hlog/internal/mutil	[no test files]
?   	github.com/rs/zerolog/internal	[no test files]
ok  	github.com/rs/zerolog/internal/cbor	1.685s
?   	github.com/rs/zerolog/internal/cbor/examples	[no test files]
ok  	github.com/rs/zerolog/internal/json	4.980s
ok  	github.com/rs/zerolog/journald	1.411s
ok  	github.com/rs/zerolog/log	1.277s
ok  	github.com/rs/zerolog/pkgerrors	1.388s
