scenario_id,baseline_probability,absolute_effect,null_task_icc,planning_direction,unrounded_task_units,required_task_units,condition_cells,maximum_request_projection,mean_rate_projection_usd,observed_maximum_rate_projection_usd
representational-power-067266204b,0.2,0.05,0.0,increase,622.3796,624,2496,29952,613.30464,735.80832
representational-power-d61463d27f,0.2,0.05,0.25,increase,472.795838,476,1904,22848,467.84136,561.28968
representational-power-c86e0ea74e,0.2,0.05,0.5,increase,323.027976,324,1296,15552,318.44664,382.05432
representational-power-53b7b8777a,0.2,0.05,0.75,increase,172.643469,176,704,8448,172.98336,207.53568
representational-power-fd7a9f3cd8,0.2,0.1,0.0,increase,158.396338,160,640,7680,157.2576,188.6688
representational-power-84c2ff5bff,0.2,0.1,0.25,increase,121.604112,124,496,5952,121.87464,146.21832
representational-power-c2aeece5bf,0.2,0.1,0.5,increase,84.666974,88,352,4224,86.49168,103.76784
representational-power-2a3e7e1698,0.2,0.1,0.75,increase,47.295566,48,192,2304,47.17728,56.60064
representational-power-2fab8c005a,0.2,0.15,0.0,increase,71.34819,72,288,3456,70.76592,84.90096
representational-power-1c098886fb,0.2,0.15,0.25,increase,55.268488,56,224,2688,55.04016,66.03408
representational-power-cc0b5e5a9e,0.2,0.15,0.5,increase,39.070633,40,160,1920,39.3144,47.1672
representational-power-1a186835b8,0.2,0.15,0.75,decrease,23.311162,24,96,1152,23.58864,28.30032
representational-power-f872dec094,0.2,0.2,0.0,increase,40.509759,44,176,2112,43.24584,51.88392
representational-power-e0ca5693aa,0.2,0.2,0.25,increase,31.625295,32,128,1536,31.45152,37.73376
representational-power-0c774df4f6,0.2,0.2,0.5,increase,22.64187,24,96,1152,23.58864,28.30032
representational-power-6c8e5c689e,0.2,0.2,0.75,decrease,14.561336,16,64,768,15.72576,18.86688
representational-power-01b192fe6a,0.4,0.05,0.0,increase,916.364668,920,3680,44160,904.2312,1084.8456
representational-power-2d48d1864e,0.4,0.05,0.25,increase,693.578384,696,2784,33408,684.07056,820.70928
representational-power-42d142841d,0.4,0.05,0.5,increase,470.647141,472,1888,22656,463.90992,556.57296
representational-power-e01592ef19,0.4,0.05,0.75,increase,247.20898,248,992,11904,243.74928,292.43664
representational-power-4b3edb5b1a,0.4,0.1,0.0,increase,229.413389,232,928,11136,228.02352,273.56976
representational-power-04df3ff399,0.4,0.1,0.25,increase,175.136054,176,704,8448,172.98336,207.53568
representational-power-99bb7778e5,0.4,0.1,0.5,increase,120.72759,124,496,5952,121.87464,146.21832
representational-power-a89ed63b24,0.4,0.1,0.75,increase,65.906055,68,272,3264,66.83448,80.18424
representational-power-66f5900ad2,0.4,0.15,0.0,increase,101.818296,104,416,4992,102.21744,122.63472
representational-power-28c98ab5c7,0.4,0.15,0.25,increase,78.371919,80,320,3840,78.6288,94.3344
representational-power-6de86f090c,0.4,0.15,0.5,increase,54.804681,56,224,2688,55.04016,66.03408
representational-power-dbfe8c990d,0.4,0.15,0.75,increase,30.888424,32,128,1536,31.45152,37.73376
representational-power-ae96826195,0.4,0.2,0.0,increase,57.03022,60,240,2880,58.9716,70.7508
